ID,OrgID,Organization,Name,IsNetwork,Telephone,Address,Latitude,Longitude
1,1,UNICEF Romania,UNICEF Romania,0,0212017872,"Bulevardul Primăverii 48A, București 11975",44.46867880791542,26.091481366229296
2,2,Asociation of Independent Midwives,Asociation of Independent Midwives,0,0722265269,"Strada Marcel Iancu 11, București 020757",44.44496615532539,26.1186132
3,4,Rise Project,Rise Project,0,,"Calea Victoriei 21-23, București 030167",44.433582965565286,26.097805938607774
4,5,Rethink Romania,Rethink Romania,0,,"Strada Reînvierii 3-5, București 021122",44.45494915651493,26.121623356220567
5,7,MozaiQ,MozaiQ,0,0764109385,"Strada Arcului 24, București 021034",44.438545869796016,26.111287582208867
6,8,WHO Romania,WHO Romania,0,,"Bulevardul Primăverii 48a, București 014192",44.46867777177204,26.09147824103717
7,9,Ministry of Health,Ministry of Health,0,0213072500,"Strada Cristian Popișteanu 1-3, București 030167",44.43795372476226,26.098634045504955
8,10,Ministry of Education,Ministry of Education,0,0214056300,"Strada General H. M. Berthelot 28-30, București 010168",44.441916191184625,26.088872397324636
9,11,Ministry of Labour,Ministry of Labour,0,0213158556,"Strada Demetru I. Dobrescu 2-4, București 030167",44.43914713140935,26.09861155499531
10,12,Ministry of Environment,Ministry of Environment,0,0214089500,"Bulevardul Libertății 12, București 030167",44.42548308472223,26.091162197324067
11,13,National Institute for Public Health,National Institute for Public Health,0,0213183620,"Strada Doctor Leonte Anastasievici 1-3, București 050463",44.43619328893382,26.069534597324317
12,14,National Health Insurance House,National Health Insurance House,0,0800800950,"Bloc S19, Calea Călărași 248, București 030634",44.431427009738556,26.136072183830567
13,15,Zi de Bine,Zi de Bine,0,0725565375,"Str. Uranus 150, București 021186",44.419764995919344,26.083618462809554
14,16,National Agency for Community Programs in Education and Professional Development,National Agency for Community Programs in Education and Professional Development,0,,"Splaiul Independenței 313, București 060042",44.44112468976046,26.051882100000004
15,18,Romanian Asociation for Psichiatry for Children and Adolescents and Associated Professions,Romanian Asociation for Psichiatry for Children and Adolescents and Associated Professions,0,0724797122,"Șoseaua Berceni 10, București 077160",44.38737887044235,26.127200395838294
16,21,Magic Association,Magic Association,1,,"Strada Grigore Cobălcescu 13, București 010191",44.43757519087523,26.086701603043377
17,21,Magic Association,Magic Association (+MagicHome),1,0723658001,"Str. Caisului 23A, Dobroești 077085",44.46452017912403,26.17338312589167
18,25,Accept,Accept,0,021 252 56 20,"Strada Lirei 10, București 030167",44.44021259257864,26.125070520712406
19,27,ARAS Health Centre,ARAS Health Centre,0,0212100747,"Strada Ocolului 20, București 030167",44.44810657309641,26.11320834742314
20,34,Concordia Humanitarian Asociation,Concordia Humanitarian Asociation,0,0311076981,"Drumul Regimentului 20D, București",44.50380040244529,26.052822779504574
21,35,Coalition for Education,Coalition for Education,0,,"Strada Stelea Spătarul 22, București 030167",44.43174828428266,26.108403897324123
22,79,Hope Clinic,Hope Clinic Brâncoveanu,1,0724792901,"Strada Grâului 21, București 041273",44.39883580304745,26.111682119212983
23,79,Hope Clinic,Hope Clinic Pleșoianu,1,0770142287,"Strada Virgil Pleșoianu 79 A, București 011526",44.4632239570727,26.067654599771448
24,79,Hope Clinic,Hope Clinic Unirii,1,0756120938,"Strada Sfântul Ștefan 7, București 023997",44.43584623038123,26.11654082860692
25,79,Hope Clinic,Hope Clinic Cluj,1,0755034328,"Strada Pădurii 9a, Cluj-Napoca 400347",46.752474373683626,23.586499071164535
26,79,Hope Clinic,Hope Clinic Iași,1,0742444098,"Strada Bașotă 2, Iași 700082",47.16554595282679,27.59088452883546
27,79,Hope Clinic,Hope Clinic Timișoara,1,0751497995,"Str. Arieș 3, Timișoara",45.7433271089653,21.237483797374118
