ID,OrgID,Organization,Name,IsNetwork,Telephone,Address,Latitude,Longitude
1,1,UNICEF,UNICEF,0,0212017872,"Bulevardul Primăverii 48A, București 11975",44.46867880791542,26.091481366229296
2,2,Asociația Moașelor Independente,Asociația Moașelor Independente,0,0722265269,"Strada Marcel Iancu 11, București 020757",44.44496615532539,26.1186132
3,4,Proiectul Rise,Proiectul Rise,0,,"Calea Victoriei 21-23, București 030167",44.433582965565286,26.097805938607774
4,5,Rethink,Rethink,0,,"Strada Reînvierii 3-5, București 021122",44.45494915651493,26.121623356220567
5,6,Preventis,Preventis,0,0364805114,"Strada René Descartes 6, Cluj-Napoca 400486",46.757349820915174,23.593037697581856
6,7,MozaiQ,MozaiQ,0,0764109385,"Strada Arcului 24, București 021034",44.438545869796016,26.111287582208867
7,8,WHO,WHO,0,,"Bulevardul Primăverii 48a, București 014192",44.46867777177204,26.09147824103717
8,9,Ministerul Sănătății,Ministerul Sănătății,0,0213072500,"Strada Cristian Popișteanu 1-3, București 030167",44.43795372476226,26.098634045504955
9,10,Ministerul Muncii,Ministerul Muncii,0,0213158556,"Strada Demetru I. Dobrescu 2-4, București 030167",44.43914713140935,26.09861155499531
10,11,Ministerul Mediului,Ministerul Mediului,0,0214089500,"Bulevardul Libertății 12, București 030167",44.42548308472223,26.091162197324067
11,12,Institutul Național Pentru Sănătatea Publică,Institutul Național Pentru Sănătatea Publică,0,0213183620,"Strada Doctor Leonte Anastasievici 1-3, București 050463",44.43619328893382,26.069534597324317
12,13,Casa Naționala de Asigurări de Sănătate,Casa Naționala de Asigurări de Sănătate,0,0800800950,"Bloc S19, Calea Călărași 248, București 030634",44.431427009738556,26.136072183830567
13,14,Zi de Bine,Zi de Bine,0,0725565375,"Str. Uranus 150, București 021186",44.419764995919344,26.083618462809554
14,15,Asociația Magic,Asociația Magic,1,,"Strada Grigore Cobălcescu 13, București 010191",44.43757519087523,26.086701603043377
15,15,Asociația Magic,Asociatia Magic (+MagicHome),1,0723658001,"Str. Caisului 23A, Dobroești 077085",44.46452017912403,26.17338312589167
16,16,Agenția Națională pentru Programe Comunitare în Domeniul Educației și Formării Profesionale (ANPCDEFP),Agenția Națională pentru Programe Comunitare în Domeniul Educației și Formării Profesionale (ANPCDEFP),0,,"Splaiul Independenței 313, București 060042",44.44112468976046,26.051882100000004
17,17,Centrul Național pentru Sănătatea Mintală și Lupta Anti-droguri,Centrul Național pentru Sănătatea Mintală și Lupta Anti-droguri,0,0314255673,"Strada Thomas Masaryk 4, București 030167",44.44071301963199,26.105043457672178
18,18,Asociaţia Română de Psihiatrie a Copilului şi Adolescentului şi Profesii Asociate,Asociaţia Română de Psihiatrie a Copilului şi Adolescentului şi Profesii Asociate,0,0724797122,"Șoseaua Berceni 10, București 077160",44.38737887044235,26.127200395838294
19,19,Institutul Mind,Institutul Mind,0,0742173822,"Strada Mihai Eminescu 41, București 010516",44.44757431495988,26.102280626154066
20,20,Asociația DEIS,Asociația DEIS,0,0771480657,"Strada Culturii 7A, Baia Mare 430316",47.65490489054978,23.574207297617104
21,21,Asociația Little People,Asociația Little People,0,0743773843,"Calea Mănăștur 42B, Cluj-Napoca 400535",46.7617528222947,23.567171997582044
22,22,"Centrul Județean De Resurse Și De Asistență Educațională, Cluj","Centrul Județean De Resurse Și De Asistență Educațională, Cluj",0,0364880711,"Str. Argeș 24, Cluj-Napoca 400159",46.77430104927569,23.596981497007402
23,23,Speranțe și Case Pentru Copii,Speranțe și Case Pentru Copii,0,0262227419,"Bulevardul Regele Mihai I 2a, Baia Mare, 430281",47.65649177786381,23.569809995764533
24,24,Accept,Accept,0,0212525620,"Strada Lirei 10, București 030167",44.44021259257864,26.125070520712406
25,25,Confederația Caritas,Confederația Caritas,0,0212304013,"Washington Residence, Strada Washington 38, București 011796",44.45562654751469,26.094915212664315
26,26,Centrul de sănătate ARAS,Centrul de sănătate ARAS,0,0212100747,"Strada Ocolului 20, București 030167",44.44810657309641,26.11320834742314
27,27,Directia Generală de Asistență Socială și Protecția Copilului Cluj,Directia Generală de Asistență Socială și Protecția Copilului Cluj,0,0264594941,"Str. General Eremia Grigorescu 37 - 39, Cluj-Napoca",46.77275667490811,23.570770597582502
28,28,"Insitutul al Acțiunilor de Pace, Educație și Cercetare România","Insitutul al Acțiunilor de Pace, Educație și Cercetare România",0,0264420298,"Strada Ion Ghica 30, Cluj-Napoca 400306",46.770277393806985,23.572325000000003
29,29,Alianța Națională a Organizațiilor Studențești din România,Alianța Națională a Organizațiilor Studențești din România,0,0215696133,"Calea Plevnei 61, București 010223",44.43702554986623,26.079060039821446
30,30,Clinica Universitară De Psihologie Babeș-Bolyai Psytech,Clinica Universitară De Psihologie Babeș-Bolyai Psytech,0,,Str. Republicii nr. 37 Cluj-Napoca 400015,46.7631742722928,23.58923396874602
31,32,Asociatia Umanitara Concordia,Asociatia Umanitara Concordia,0,0311076981,"Drumul Regimentului 20D, București",44.50380040244529,26.052822779504574
32,33,Coalitia pentru Educatie,Coalitia pentru Educatie,0,,"Strada Stelea Spătarul 22, București 030167",44.43174828428266,26.108403897324123
33,34,AIESEC,AIESEC,0,0723629225,"Str. Rezervelor 61B, București 077040",44.44580112437579,25.987722897225222
34,35,Academia ThinkUp,Academia ThinkUp,0,,"Aleea Băișoara, Cluj-Napoca 400445, Romania",46.76418402956025,23.6244053386293
35,36,Uniunea Națională a Studenților din România,,0,0765247311,"Students Cultural House, Calea Plevnei 61, București 010236",44.43696793169507,26.079026368657505
36,37,Asociația Young Roma Maramureș,Asociația Young Roma Maramureș,0,0740563641,"Strada Dacia 1, cam. 5, Baia Mare",47.66029774506088,23.581588697617345
37,38,Grupul PONT,Grupul PONT,0,0757055590,"Strada Horea 5, ap. 7, Cluj-Napoca 400174",46.774981123321574,23.586860226418583
38,39,Centru Filia,Centru Filia,0,0213138024,"Bulevardul Decebal 14, București 030967",44.42879461145484,26.134341883821136
39,40,Centrul de Educație C-EDU,Centrul de Educație C-EDU,0,,"Aleea Băișoara 2a, Cluj-Napoca 400394",46.76446227264425,23.62463819758203
40,41,Wello,Wello,0,0740551863,"Strada Colinei 20, Cluj-Napoca 400520",46.751029098834756,23.536479086305146
41,42,Centrul Cultural Cluj,Centrul Cultural Cluj,0,0372773603,"Strada Fluierașului 3, Cluj-Napoca 400073",46.76673732006178,23.59936868223785
42,43,Educație pentru România,Educație pentru România,0,,"Nova Building, Strada Gara Herăstrău, București 020334",44.47866486078732,26.10647873982291
43,44,Lideri Români de Afaceri,Lideri Români de Afaceri,0,0217941498,"Calea Dorobanți 42, București",44.449600953163596,26.099563197494092
44,45,Centru Rațiu pentru Democrație,Centru Rațiu pentru Democrație,0,,"Piața 1 Decembrie 1918 1, Turda 401094",46.57038082096677,23.78498495556642
45,46,Inspectoratul Școlar Județean Cluj,Inspectoratul Școlar Județean Cluj,0,0264594672,"Str. Argeș 24, Cluj-Napoca 400394",46.77416474754798,23.596974235975843
46,47,Asociația pentru Valori în Educație (AVE),Asociația pentru Valori în Educație (AVE),0,,"Strada Semilunei 4, București 030167",44.439060679320406,26.112522
47,48,Primăria Municipiului Cluj-Napoca,Primăria Municipiului Cluj-Napoca,0,0264596030,"Calea Moților 3, Cluj-Napoca 400001",46.768243437837285,23.58476519645059
48,49,Asociația Mușatinii Roman,Asociația Mușatinii Roman,0,,"Piața Roman Vodă 1, Roman",46.926254671139,26.930025797588442
49,50,Consiliul Județean Cluj,Consiliul Județean Cluj,0,0372640000,"Calea Dorobanților 106, Cluj-Napoca 400609",46.776710075987225,23.616079926418696
50,51,Academia de Muzică Gheorghe Dima,Academia de Muzică Gheorghe Dima,0,0264591241,"Strada Ion I. C. Brătianu 25, Cluj-Napoca 400079",46.768708773803276,23.592935497582335
51,52,Asociația Tineri UN România,Asociația Tineri UN România,0,0740130307,"Bulevardul Mihail Kogălniceanu 36-46, București 050107",44.435312735678174,26.08213141265908
52,53,Uniunea Studenților din România,Uniunea Studenților din România,0,0725535589,"Calea Plevnei 61, București 010223",44.43699061353632,26.07925499749359
53,55,Universitatea Iuliu Hațiganu pentru Medicină și Farmacie,Universitatea Iuliu Hațiganu pentru Medicină și Farmacie,0,0264597256,"Strada Victor Babeș 8, Cluj-Napoca 400347",46.76163295157663,23.5827986488522
54,56,Universitatea de Științe Agriculture și Medicină Veterinară din Cluj-Napoca,Universitatea de Științe Agriculture și Medicină Veterinară din Cluj-Napoca,0,0374492010,"Universitatea de Stiinte Agricole si Medicina Veterinara, Calea Mănăștur 3-5, Cluj-Napoca 400372",46.76098387169501,23.570790968745847
55,57,Universitatea Tehnică din Cluj-Napoca,Universitatea Tehnică din Cluj-Napoca,0,0264401200,"Strada Memorandumului 28, Cluj-Napoca 400114",46.769260893864725,23.585707784457593
56,58,Itsy Bitsy,Itsy Bitsy,0,0213119810,"Strada Leonida nr 19, București 020555",44.448393652847,26.109224997493968
57,59,Asociatia OvidiuRo,Asociatia OvidiuRo,0,0213158806,"Șoseaua Vitan-Bârzești 11A, București 042122",44.391332971298304,26.15022526865577
58,60,Asociația Reality Check,Asociația Reality Check,0,0726840791,"Bd. Ion C. Brătianu 44, ap. 63, 030177, București",44.42998527345099,26.103220826149347
59,61,Dragoste Desculță,Dragoste Desculță,0,0756854704,"Strada Mihail Kogălniceanu 15A, Negrești",46.83558575716695,27.452361184475897
60,62,"Ministerul pentru Familie, Tineri și Șanse Egale","Ministerul pentru Familie, Tineri și Șanse Egale",0,0721024804,"World Trade Plaza, Piața Montreal 10, București 011469",44.475658915538354,26.0698632974951
61,63,Consiliul Tineretului din România ,Consiliul Tineretului din România ,0,,"Strada Turturelelor 11, București",44.42711934726922,26.12548736865705
62,64,Consiliul Economic și Social ,Consiliul Economic și Social ,0,0213102356,"Str. Dr. Dimitrie D. Gerota 7-9, București 030167",44.43665937520058,26.105190183823385
63,66,Cognosis,Cognosis,0,0732967551,"Strada Lucian Blaga 2A, Sibiu 550169",45.79340449043011,24.156156797544806
64,67,Centrul Affinity,Centrul Affinity,0,0753023003,"Strada Constantin Brâncuși 27, Cluj-Napoca 400458",46.76671049881464,23.603021355620722
65,68,Educație Mintală,Educație Mintală,0,0749110148,"Strada Dacia 3, Cluj-Napoca 400044",46.77545312338601,23.588513468746395
66,69,Terra-Pi,Terra-Pi,0,0726066912,"Strada Rubin Patiția 7, Cluj-Napoca 400394",46.771223826171536,23.60442592641856
67,70,Terapia Reflect,Terapia Reflect,0,0743534442,"Bulevardul 21 Decembrie 1989 nr. 63, Cluj-Napoca 400124",46.77518524890775,23.60129595562314
68,71,Psi8imal,Psi8imal,0,0758460419,"Strada Constantin Brâncuși 56, Cluj-Napoca 400347",46.76500852529804,23.605607811073938
69,72,Med Anima,Med Anima,1,0747202212,"Strapungere Silvestru, nr. 60, bl. CL 11, parter, Iași 700004",47.17079001274892,27.56244196936203
70,72,Med Anima,Med Anima,1,0754431431,"Strada Simion Bărnuțiu 34, Timișoara 300133",45.763399314552565,21.25437903073944
71,72,Med Anima,Med Anima,1,0746143650,"com. Belcesti, jud.Iași, tronson B, Bl. 14., Belcești 707045",47.30828025280795,27.085249084706387
72,73,Clinica Hope,Clinica Hope Brâncoveanu,1,0724792901,"Strada Grâului 21, București 041273",44.39883580304745,26.111682119212983
73,73,Clinica Hope,Clinica Hope Pleșoianu,1,0770142287,"Strada Virgil Pleșoianu 79 A, București 011526",44.4632239570727,26.067654599771448
74,73,Clinica Hope,Clinica Hope Unirii,1,0756120938,"Strada Sfântul Ștefan 7, București 023997",44.43584623038123,26.11654082860692
75,73,Clinica Hope,Clinica Hope Cluj,1,0755034328,"Strada Pădurii 9a, Cluj-Napoca 400347",46.752474373683626,23.586499071164535
76,73,Clinica Hope,Clinica Hope Iași,1,0742444098,"Strada Bașotă 2, Iași 700082",47.16554595282679,27.59088452883546
77,73,Clinica Hope,Clinica Hope Timișoara,1,0751497995,"Str. Arieș 3, Timișoara",45.7433271089653,21.237483797374118
78,74,Asociația de Pshihoterapie Integrativă și Psihologie Clinică,Asociația de Pshihoterapie Integrativă și Psihologie Clinică,0,0740316166,"Str. Grigore Ghica Vodă nr. 7, Cabinet 4, etaj 1, Iași 700469",47.16039862666918,27.596301931654807
79,75,Clinica Psihologie Eleven,Clinica Psihologie Eleven,0,0744681577,"Bulevardul Dimitrie Cantemir 3, Iași 700233",47.15167927490498,27.581675197597285
80,76,PsihoHelp,PsihoHelp,0,0749353533,"Șoseaua Nordului 110, București 014131",44.48381743309892,26.086358983835805
81,77,Realist Dreamer,Realist Dreamer,0,0740495692,"Strada Canta, nr. 7,  Iași 700535",47.17325778458357,27.54861026876212
82,79,Asociaţia Studenţilor Universităţii de Artă şi Design Cluj-Napoca,Asociaţia Studenţilor Universităţii de Artă şi Design Cluj-Napoca,0,0264595021,"Piața Unirii 31, Cluj-Napoca 400098",46.76973644925746,23.5909080552899
83,80,Linnify,Linnify,0,0742028083,"Strada Măcinului 34, Cluj-Napoca 400475",46.7608101474647,23.611073813291352
84,81,Universitatea Alexandru Ioan Cuza Iasi,Universitatea Alexandru Ioan Cuza Iasi,0,0232201000,"Bulevardul Carol I 11, Iași 700506",47.17435157801996,27.571493268762065
85,82,Universitatea din Bucuresti,Universitatea din Bucuresti,0,0213077300,"Bulevardul Regina Elisabeta Nr. 4-12, București 030018",44.43547733885633,26.101634053412745
86,83,Clinica Alegria,Clinica Alegria,0,0770508524,"Strada Turnu Măgurele 240-242, București 041713",44.37768865975073,26.12353481264361
87,84,Clinica Nice,Clinica Nice,0,0790661600,"Bulevardul Regina Maria 23 Etaj 1, București 040122",44.42238560855346,26.093065339652867
88,85,Centrul Medical Bellanima,Centrul Medical Bellanima,0,0731151153,"Str. Viitorului 26, zona Piata Gemeni, București 020612",44.44369675161542,26.110884868489265
89,86,Clinica The Mind,Clinica The Mind,0,0217812259,"Strada Ana Davila 13, București 050491",44.43298884880803,26.068201897324304
90,87,Clinica Renia,Clinica Renia,0,0748662662,"Strada Doctor Nicolae Turnescu 11, București 050467",44.4353155885887,26.067281797493614
91,88,Clinica Psy For You,Clinica Psy For You,0,0744310310,"Strada Locotenent Aviator Vasile Fuică 70, București 012086",44.472837791535795,26.058272166641988
92,89,Centrul Maze,Centrul Maze,0,0749183354,"Strada Traian 107, București 030167",44.434002710076065,26.120708697324265
93,90,Centrul de Psihoterapie IPSI,Centrul de Psihoterapie IPSI,0,0731077076,"Intrarea Victor Eftimiu 5-7, București 010153",44.43667904977533,26.09370829732429
94,91,Clinica de Psihoterapie Oana Nicolau,Clinica de Psihoterapie Oana Nicolau,0,0733303333,"Strada George Georgescu 46, București 065441",44.42373154638108,26.092434168488428
95,92,Clinica Nine,Clinica Nine,0,0736841833,"Str. Ana Aslan 6, Cluj-Napoca 400347",46.73920251843891,23.58847509758114
96,93,Asociația Gutenberg,Asociația Gutenberg,0,0759674966,"Str. Universității, Cluj-Napoca 400091",46.767111624488166,23.590440297582248
97,94,Asociația În Dialog,Asociația În Dialog,0,0747303049,"Strada Lascăr Catargi 22, Iași",47.172467180205366,27.579013293955708
98,95,Asociația Life-Learning Education,Asociația Life-Learning Education,0,,"Strada Onești 41, Constanța 900001",44.2022519797634,28.644714468648754
99,96,Universitatea din Bucuresti - Facultatea de Psihologie și Științele Educației,Universitatea din Bucuresti - Facultatea de Psihologie și Științele Educației,0,0314253452,"Șoseaua Panduri 90, București 050663",44.43146759651001,26.0623783838219
100,97,Institutul Național pentru Managementul Serviciilor de Sănătate,Institutul Național pentru Managementul Serviciilor de Sănătate,0,,"Strada Vaselor 31, București 030167",44.44468797107931,26.12382526865775
101,98,Centrul Judeţean de Resurse şi de Asistenţă Educaţională Galaţi,Centrul Judeţean de Resurse şi de Asistenţă Educaţională Galaţi,0,0236311158,"Str. Portului , Nr. 55B; Internatul Grupului Scolar de Marina, Etaj 3, Galați 800211",45.43477077107709,28.066529068694955
102,99,Casa de Tranziție,Casa de Tranziție,0,0737520854,"Strada George Barițiu 16, Cluj-Napoca 400027",46.77331655258609,23.586177640278205
103,100,Reactor Cluj,Reactor Cluj,0,0747197501,"Strada Petőfi Sándor 4, Cluj-Napoca 400394",46.773869675211735,23.60615072641856
104,101,Asociația Studenților Psihologi din România,Asociația Studenților Psihologi din România,0,,"Strada Bogdan Petriceicu Hasdeu 45, Cluj-Napoca 400394",46.762794921658326,23.579865326418222
105,103,Asociaţia de Dezvoltare Intercomunitară Zona Metropolitană Cluj,Asociaţia de Dezvoltare Intercomunitară Zona Metropolitană Cluj,0,0747196681,"Piața Unirii 2 ap. 4, Cluj-Napoca 400394",46.76876877112872,23.591134739910142
106,104,Direcția de Asistență Socială și Medicală,Direcția de Asistență Socială și Medicală,0,0264599316,"Strada Venus fn, Cluj-Napoca",46.77551654238358,23.618191774273342
107,105,Federaţia Asociaţiilor Studenţilor în Medicină,Federaţia Asociaţiilor Studenţilor în Medicină,0,,"Strada Bogdan Petriceicu Hasdeu 90-92, Cluj-Napoca 400000",46.76359686731328,23.578580211073774
108,106,Organizaţia Studenţilor din UBB,Organizaţia Studenţilor din UBB,0,,"Strada Păstorului, Cluj-Napoca",46.76163524705609,23.578248955619348
109,107,Organizația Studenților din Universitatea Tehnică Cluj,Organizația Studenților din Universitatea Tehnică Cluj,0,,"Strada Memorandumului 28, Cluj-Napoca 400114",46.76923157394585,23.585686339910076
