ID,Organization,Influence,Activity,Description,Youth,Field,Category,Level,Site
1,UNICEF România,High,High,"Mobilizing resources from private individuals, private sector companies and foundations to support children in Romania and beyond. They make regular situation analyses, looking into how UNICEF and its partners, NGOs and other experts can intervene and work with central and local authorities to address unresolved issues.",Youth,Social related,Non-governmental organisations,National,
2,Asociația Moașelor Independente,Low,High," AMI is a member of the ICM (International Confederation of Midwives), which works in close collaboration with WHO, UNICEF, FIGO, UNFPA, PMNCH, etc. They specialise in helping mothers every step of the way, from conception to birth and postpartum. In Europe, midwives also inform and help couples with fertility problems, they promote health for the mother and the family, and teach sexual education in schools.",Youth,Employment related,Non-governmental organisations,,
3,GoFree,Low,Medium,"They are a Cluj-Napoca based NGO that works with youth, and aims to promote respect for diversity and dialogue between communities. Most of their activities target the themes of diversity, solidarity and social justice and empowers youth to take action against social injustice. They specialise in activism and organizing movements promoting things such as pride, inclusion and diversity. They also launched Go Free Magazine, which promotes citizen journalism, with the young members of the magazine being part of the planning, documentation, editing and publishing of the magazine and acts as an instrument for the youth of Cluj-Napoca to express themselves  and get involved with community issues.",Youth,Social related,Non-governmental organisations,Regional,https://www.gofree.ro/
4,Rise Project,Medium,Low," It is a community of journalists, activists and programmers, who invesitgate organized crime in Romania and its neighbouring countries. They discover connections between politicians, crime organizations and businesses. They also get offshore document and analyze them thoroughly. They publish their investigations and create a visual archive of the hidden interests in Romania.",Youth,Social related,Media,National,https://www.riseproject.ro/?fbclid=IwAR2j8XIa6QzVbpCsk-gHE7njdRWd4A1o1YrQfof-kI7RwUJLWbw7Uia_gyc
5,Rethink Romania,Medium,Medium," They are a ""think tank"" (organization) made up of Romanian entrepreneurs, who aim to create a 30 year plan for the future of Romania. They work on the belief that Romania hasn't reached its full potential. Their main interests are: mentality, demographics, education, studies and digitalisation. ",Youth,Social related,Non-governmental organisations,,
6,Preventis,High,High,"They organize antidrug campaigns, offer councelling and support to families with children who have substance abuse problems. They aim to see children and teenagers free of any addictions, and developing to their full potential. They address not only symptoms, but the causes of substance abuse, aiming to prevent it as much as they can. ",Youth,Health related,Non-governmental organisations,National,
7,MozaiQ,High,High," They are a community organizationn addressed to LGBTQIA+ people in Romania, who aim to improve their quality of life through programs that help their needs. They also aim to represent, promote and protect their rights and ensuring that they are not discriminated against. Their vision and aim is to see people from the LGBTQIA+ community acitvely participating in social, political, economic and cultural life, by offering their services.",Youth,Social related,Non-governmental organisations,National,
8,WHO Romania,High,High," They are the United Nations agenct that connects partners, nations, and people to promote health, so that everyone can attain the highest level of health. They lead global efforts to expand universal haelth coverage and coordinate the world's response to health emergencies. ",Youth,Health related,,,
9,Ministry of Health,High,Low,"They are one of the government owned ministries of Romania, and they oversee all the actions taken in Romania relating to health and implement policies.",Youth,Health related,Governmental,,
10,Ministry of Education,High,High, They are one of the gorvenment owned ministries and they oversee all the actions taken in Romania relating to education and implement policies.,Youth,Education related,Governmental,,
11,Ministry of Labour,High,, They are one of the government owned ministries and they oversee all the actions taken in the country relating to work policies.,Youth,Employment related,Governmental,National,http://mmuncii.ro/j33/index.php/ro/
12,Ministry of Environment,Medium,Low, They are one of the government owned ministries of Romania and they have the mission to protect the environment and to encrease citizens' life quality.,Youth,Environment related,Governmental,National,http://www.mmediu.ro/
13,National Institute for Public Health,High,Low, ,Youth,Health related,Governmental,,
14,National Health Insurance House,High,High,They are a public institution whose primary objective is to coordinate the health social assurance system from Romania.,Youth,Health related,Governmental,,https://cnas.ro/
15,Zi de Bine,,High," They are an organization from Romania that helps new NGO's and comunities to find specific solutions to problems related to education, health (physical, emotional and mental), social inclusion, poverty and environment. ",Youth,Social related,Non-governmental organisations,,https://www.zidebine.ro/
16,Agenția Națională pentru Programe Comunitare în Domeniul Educației și Formării Profesionale (ANPCDEFP),High,Low, They are an agency that manage the Erasmus+ program in Romania and offer support to those who want to apply for funding.,Youth,Youth related,Governmental,,https://www.anpcdefp.ro/
17,National Center for Mental Health & Fight against Drugs (CNSMLA),High,High," They are a public institution in the subordination of the Ministry of Health that assures the good coordination, implementation and evaluation at the national level of mental health policies.",Youth,Health related,Governmental,National,https://cnsm.org.ro/despre-noi/
18,Asociaţia Română de Psihiatrie a Copilului şi Adolescentului şi Profesii Asociate,High,High,,Youth,Health related,Non-governmental organisations,National,https://www.arpcapa.ro/
19,Mind Institute,Medium,High," It is an institute specialized on psychoterapy, with a team of 15 collaborators that provide psychological services.",Youth,Health related,Private,,https://www.mindinstitute.ro
20,Asociația DEIS,Low,Low," It is a non-governmental, non-profit, and apolitical organisation. Their aim is to facilitate the access of young people to informal education and to promote active citizenship. Their programs and project contribute to young people's development, personal and professional education, promoting cultural diversity, European values, voluntary work, etc.",Youth,Youth related,Non-governmental organisations,Local,https://www.deis.ro/
21,Asociația Magic,High,High," It is a non-governmental organisation, helping children with serious ailments and their families. So far, it has had more than 2000 volunteers.",Youth,Health related,Non-governmental organisations,National,https://asociatiamagic.ro/despre-noi
