ID,Organization,Expertise,Field,Category,Interest,Influence,Activity,Youth,Level,Site
1,UNICEF,"United Nations Children's Fund (UNICEF) mobilize resources from private individuals, private sector companies and foundations to support children in Romania and beyond. They make regular situation analyses, looking into how UNICEF and its partners, NGOs and other experts can intervene and work with central and local authorities to address unresolved issues.",Youth,International,High,High,High,Youth-focused,National,https://www.unicef.org/romania/ro
2,The Association of Independent Midwives,"AMI is a member of the ICM (International Confederation of Midwives), which collaborates closely with WHO, UNICEF, FIGO, UNFPA, PMNCH, etc. They specialize in helping mothers every step of the way, from conception to birth and postpartum. In Europe, midwives also inform and help couples with fertility problems; they promote health for the mother and the family and teach sexual education in schools.",Employment,Non-governmental,High,Low,High,Youth-focused,National,https://moasele.ro/
3,GoFree,"They are a non-governmental organization based in Cluj-Napoca that focuses on working with young people to promote diversity and encourage dialogue between different communities. Their main focus is on themes such as solidarity, social justice, and empowering young people to take action against social injustice. They specialize in activism and organizing movements that promote pride, inclusion, and diversity. Additionally, they have launched Go Free Magazine, which encourages citizen journalism. The young members of the magazine are involved in the planning, documentation, editing, and publishing of the magazine, which provides an avenue for the youth of Cluj-Napoca to express themselves and get involved with community issues.",Social,Non-governmental,High,Low,Low,Youth-focused,Regional,https://www.gofree.ro/
4,Rise Project,"It is a community of journalists, activists and programmers investigating organized crime in Romania and its neighbouring countries. They discover connections between politicians, crime organizations and businesses. They also get offshore documents and analyze them thoroughly. They publish their investigations and create a visual archive of the hidden interests in Romania.",Social,Media,Low,Low,Low,Youth-focused,National,https://www.riseproject.ro/?fbclid=IwAR2j8XIa6QzVbpCsk-gHE7njdRWd4A1o1YrQfof-kI7RwUJLWbw7Uia_gyc
5,Rethink,"They are a ""think tank"" (organization) made up of Romanian entrepreneurs who aim to create a 30-year plan for the future of Romania. They work on the belief that Romania has yet to reach its full potential. Their primary interests are mentality, demographics, education, studies and digitalization. ",Social,Non-governmental,Low,High,Low,Youth-focused,National,https://rethinkromania.ro/
6,Preventis,"They organize anti-drug campaigns and offer counselling and support to families with children who have substance abuse problems. They aim to see children and teenagers free of addictions and develop to their full potential. They address symptoms and the causes of substance abuse, aiming to prevent it as much as possible. ",Health,Non-governmental,High,Low,High,Youth-focused,National,https://preventis.ro/
7,MozaiQ,"They are a community organization addressed to LGBTQIA+ people in Romania who aim to improve their quality of life through programs that help their needs. They also aim to represent, promote and protect their rights and ensure they are not victims of discrimination. Their vision and aim is to see people from the LGBTQIA+ community actively participating in social, political, economic and cultural life by offering their services.",Social,Non-governmental,High,High,High,Youth-focused,National,https://www.mozaiqlgbt.ro/en/
8,WHO,"World Health Organization (WHO) are the United Nations agency that connects partners, nations, and people to promote health so everyone can attain the highest fitness level. They lead global efforts to expand universal health coverage and coordinate the world's response to health emergencies. ",Health,International,High,High,High,Youth-focused,National,https://www.who.int/romania
9,Ministry of Health,"They are one of the government-owned ministries of Romania, and they oversee all the actions taken in Romania relating to health and implementing policies.",Health,Public,Low,High,Low,Youth-focused,National,https://www.ms.ro/ro/
10,Ministry of Labour," They are one of the government-owned ministries, and they oversee all the actions taken in the country relating to work policies.",Employment,Public,Low,High,Low,Youth-focused,National,http://mmuncii.ro/j33/index.php/ro/
